row,time_years,interpolated
0,1958.208,315.71
1,1958.292,317.45
2,1958.375,317.5
3,1958.458,317.1
4,1958.542,315.86
5,1958.625,314.93
6,1958.708,313.2
7,1958.792,312.66
8,1958.875,313.33
9,1958.958,314.67
10,1959.042,315.62
11,1959.125,316.38
12,1959.208,316.71
13,1959.292,317.72
14,1959.375,318.29
15,1959.458,318.15
16,1959.542,316.54
17,1959.625,314.8
18,1959.708,313.84
19,1959.792,313.26
20,1959.875,314.8
21,1959.958,315.58
22,1960.042,316.43
23,1960.125,316.97
24,1960.208,317.58
25,1960.292,319.02
26,1960.375,320.03
27,1960.458,319.59
28,1960.542,318.18
29,1960.625,315.91
30,1960.708,314.16
31,1960.792,313.83
32,1960.875,315.0
33,1960.958,316.19
34,1961.042,316.93
35,1961.125,317.7
36,1961.208,318.54
37,1961.292,319.48
38,1961.375,320.58
39,1961.458,319.77
40,1961.542,318.57
41,1961.625,316.79
42,1961.708,314.8
43,1961.792,315.38
44,1961.875,316.1
45,1961.958,317.01
46,1962.042,317.94
47,1962.125,318.56
48,1962.208,319.68
49,1962.292,320.63
50,1962.375,321.01
51,1962.458,320.55
52,1962.542,319.58
53,1962.625,317.4
54,1962.708,316.26
55,1962.792,315.42
56,1962.875,316.69
57,1962.958,317.69
58,1963.042,318.74
59,1963.125,319.08
60,1963.208,319.86
61,1963.292,321.39
62,1963.375,322.25
63,1963.458,321.47
64,1963.542,319.74
65,1963.625,317.77
66,1963.708,316.21
67,1963.792,315.99
68,1963.875,317.12
69,1963.958,318.31
70,1964.042,319.57
71,1964.125,320.07
72,1964.208,320.73
73,1964.292,321.77
74,1964.375,322.25
75,1964.458,321.89
76,1964.542,320.44
77,1964.625,318.7
78,1964.708,316.7
79,1964.792,316.79
80,1964.875,317.79
81,1964.958,318.71
82,1965.042,319.44
83,1965.125,320.44
84,1965.208,320.89
85,1965.292,322.13
86,1965.375,322.16
87,1965.458,321.87
88,1965.542,321.39
89,1965.625,318.81
90,1965.708,317.81
91,1965.792,317.3
92,1965.875,318.87
93,1965.958,319.42
94,1966.042,320.62
95,1966.125,321.59
96,1966.208,322.39
97,1966.292,323.87
98,1966.375,324.01
99,1966.458,323.75
100,1966.542,322.39
101,1966.625,320.37
102,1966.708,318.64
103,1966.792,318.1
104,1966.875,319.79
105,1966.958,321.08
